,cellCategory,cellText,pageNum
220,c,上海市浦东新区世纪大道100号上海环球金融中心50楼,6
221,c,签字会计师姓名,6
222,c,施瑾周浩,6
223,t,公司聘请的报告期内履行持续督导职责的保荐机构,6
224,t,□适用√不适用,6
225,t,公司聘请的报告期内履行持续督导职责的财务顾问,6
226,t,□适用√不适用,6
227,t,六、主要会计数据和财务指标,6
228,t,公司是否需追溯调整或重述以前年度会计数据,6
229,t,□是√否,6
230,c,,6
231,c,2017年,6
232,c,2016年,6
233,c,本年比上年增减,6
234,c,2015年,6
235,c,营业收入（元）,6
236,c,"10,177,226,827.99",6
237,c,"9,485,725,904.11",6
238,c,7.29%,6
239,c,"8,481,099,518.74",6
240,c,归属于上市公司股东的净利润（元）,6
241,c,"900,563,289.50",6
242,c,"957,961,362.54",6
243,c,-5.99%,6
244,c,"797,575,720.03",6
245,c,归属于上市公司股东的扣除非经常性损益的净利润（元）,6
246,c,"769,603,526.16",6
247,c,"890,759,191.45",6
248,c,-13.60%,6
249,c,"551,218,689.98",6
250,c,经营活动产生的现金流量净额（元）,6
251,c,"969,552,924.11",6
252,c,"1,343,409,111.92",6
253,c,-27.83%,6
254,c,"1,220,215,689.85",6
255,c,基本每股收益（元/股）,6
256,c,0.41,6
257,c,0.44,6
258,c,-6.82%,6
259,c,0.36,6
260,c,稀释每股收益（元/股）,6
261,c,0.41,6
262,c,0.44,6
263,c,-6.82%,6
264,c,0.36,6
265,c,加权平均净资产收益率,6
266,c,15.96%,6
267,c,20.53%,6
268,c,-4.57%,6
269,c,23.99%,6
270,c,,7
271,c,2017年末,7
272,c,2016年末,7
273,c,本年末比上年末增减,7
274,c,2015年末,7
275,c,总资产（元）,7
276,c,"10,049,137,584.54",7
277,c,"9,288,540,455.00",7
278,c,8.19%,7
279,c,"8,846,201,192.31",7
280,c,归属于上市公司股东的净资产（元）,7
281,c,"6,009,167,679.54",7
282,c,"5,303,838,078.63",7
283,c,13.30%,7
284,c,"4,100,979,665.55",7
285,t,七、境内外会计准则下会计数据差异,7
286,t,1、同时按照国际会计准则与按照中国会计准则披露的财务报告中净利润和净资产差异情况,7
287,t,□适用√不适用,7
288,t,公司报告期不存在按照国际会计准则与按照中国会计准则披露的财务报告中净利润和净资产差异情况。,7
289,t,2、同时按照境外会计准则与按照中国会计准则披露的财务报告中净利润和净资产差异情况,7
290,t,□适用√不适用,7
291,t,公司报告期不存在按照境外会计准则与按照中国会计准则披露的财务报告中净利润和净资产差异情况。,7
292,t,八、分季度主要财务指标,7
293,t,单位：元,7
294,c,,7
295,c,第一季度,7
296,c,第二季度,7
297,c,第三季度,7
298,c,第四季度,7
299,c,营业收入,7
300,c,"2,499,802,666.17",7
301,c,"2,455,448,422.27",7
302,c,"2,360,560,617.15",7
303,c,"2,861,415,122.40",7
304,c,归属于上市公司股东的净利润,7
305,c,"199,958,411.87",7
306,c,"281,120,473.90",7
307,c,"228,019,712.92",7
308,c,"191,464,690.81",7
309,c,归属于上市公司股东的扣除非经常性损益的净利润,7
310,c,"197,138,990.96",7
311,c,"252,503,271.37",7
312,c,"146,293,436.25",7
313,c,"173,667,827.58",7
314,c,经营活动产生的现金流量净额,7
315,c,"242,957,042.77",7
316,c,"386,269,726.67",7
317,c,"86,616,901.78",7
318,c,"253,709,252.89",7
319,t,上述财务指标或其加总数是否与公司已披露季度报告、半年度报告相关财务指标存在重大差异,7
320,t,□是√否,7
321,t,九、非经常性损益项目及金额,7
322,t,√适用□不适用,7
323,t,单位：元,7
324,c,项目,7
325,c,2017年金额,7
326,c,2016年金额,7
327,c,2015年金额,7
328,c,说明,7
329,c,非流动资产处置损益（包括已计提资产减值准备的冲销部分）,7
330,c,"99,261,707.10",7
331,c,"20,059,590.81",7
332,c,"10,154,806.16",7
333,c,处置固定资产、无形资产净收益,7
334,c,计入当期损益的政府补助（与企业业务密切相关，按照国家统一标准定额或定量享受的政府补助除外）,7
335,c,"70,183,544.21",7
336,c,"73,490,386.76",7
337,c,"63,780,315.49",7
338,c,,7
339,c,同一控制下企业合并产生的子公司期初至,7
340,c,,7
341,c,,7
342,c,"203,568,378.10",7
343,c,,7
344,c,合并日的当期净损益,8
345,c,除同公司正常经营业务相关的有效套期保值业务外，持有交易性金融资产、交易性金融负债产生的公允价值变动损益，以及处置交易性金融资产、交易性金融负债和可供出售金融资产取得的投资收益,8
346,c,"20,405,367.34",8
347,c,"-3,291,327.79",8
348,c,"-12,450,464.35",8
349,c,远期外汇合同交易产生的公允价值变动损益和投资收益、银行理财产品投资收益、处置可供出售金融资产投资收益、期货交易产生的投资收益,8
350,c,单独进行减值测试的应收款项减值准备转回,8
351,c,"725,439.56",8
352,c,"464,995.03",8
353,c,"566,497.34",8
354,c,,8
355,c,除上述各项之外的其他营业外收入和支出,8
356,c,"4,753,745.41",8
357,c,"-1,981,376.36",8
358,c,"-3,358,151.61",8
359,c,,8
360,c,减：所得税影响额,8
361,c,"26,031,022.12",8
362,c,"11,345,029.64",8
363,c,"8,669,629.99",8
364,c,,8
365,c,少数股东权益影响额（税后）,8
366,c,"38,339,018.16",8
367,c,"10,195,067.72",8
368,c,"7,234,721.09",8
369,c,,8
370,c,合计,8
371,c,"130,959,763.34",8
372,c,"67,202,171.09",8
373,c,"246,357,030.05",8
374,c,--,8
375,t,对公司根据《公开发行证券的公司信息披露解释性公告第1号——非经常性损益》定义界定的非经常性损益项目，以及把《公,8
376,t,开发行证券的公司信息披露解释性公告第1号——非经常性损益》中列举的非经常性损益项目界定为经常性损益的项目，应,8
377,t,说明原因,8
378,t,□适用√不适用,8
379,t,公司报告期不存在将根据《公开发行证券的公司信息披露解释性公告第1号——非经常性损益》定义、列举的非经常性损益,8
380,t,项目界定为经常性损益的项目的情形。,8
381,t,第三节公司业务概要,9
382,t,一、报告期内公司从事的主要业务,9
383,t,公司是否需要遵守特殊行业的披露要求,9
384,t,否,9
385,t,报告期内，公司主要从事铝合金轮毂、环保达克罗涂覆以及轻量化镁合金业务。,9
386,t,1、铝合金轮毂业务,9
387,t,公司铝合金轮毂业务已实现了行业细分市场的全球领跑。汽车铝合金轮毂业务市场定位以中高端客户,9
388,t,为主，充分开发自主品牌客户，并全面落实“26313”市场布局（美系通用、福特；欧系大众、宝马、奔,9
389,t,驰、菲亚特克莱斯勒、标致、路虎；日系丰田、本田、日产；韩系现代-起亚；中国奇瑞、比亚迪、江淮）。,9
390,t,摩托车铝合金轮毂业务目前拥有全球最大的摩托车铝合金车轮生产基地，形成了以“本田和雅马哈”为主，,9
391,t,大长江、铃木、HERO等为重要补充的全球市场布局。,9
392,t,2017年，公司积极响应国家政策导向，提升技术能力，打造工业4.0智能化的铝合金轮毂制造基地，,9
393,t,当前首期年产600万套高强韧摩托车铝轮智慧工厂全新生产线已正式进入量产阶段，年产220万件铝合金轮,9
394,t,"毂智慧工厂项目已正式批准筹建。公司将持续推进制造智能化,实现产业转型升级，提高劳动效率，创造更",9
395,t,高效益。,9
396,t,2、环保达克罗涂覆业务,9
397,t,国家“十三五”规划纲要提出加快改善生态环境，并在环境综合治理、绿色环保发展、生态安全保障,9
398,t,机制等方面进行了综合部署，环保行业有望在政策的持续加码扶植下，细分市场领域投资需求持续增加。,9
399,t,当前，环保达克罗涂覆行业是国家政策大力支持与倡导的健康、环保、绿色新材料与新工艺产业，朝着性,9
400,t,能“高”、能源“省”、污染“无”的方向迈进，公司充分运用达克罗涂覆业务在行业中的领导地位，完,9
401,t,善了内部管理及新型环保达克罗涂覆工艺的转型升级，并优化了市场结构。同时，为进一步巩固达克罗行,9
402,t,业领跑地位，经第六届董事会第九次会议批准，全资子公司上海达克罗在浙江省嘉兴市平湖市投资年产9,9
403,t,万吨无铬达克罗涂覆建设项目。,9
404,t,3、轻量化镁合金业务,9
405,t,公司轻量化镁合金业务主要从事汽车镁合金部件的研发、设计、生产及产品市场拓展，并具备将市场,9
406,t,推广到交通、国防以及其它行业应用的能力。随着世界各国制定了各类乘用车尾气排放及燃料消耗标准，,9
407,t,轻量化作为最直接有效的节能减排措施，成为当前汽车行业发展的重要趋势，同时也成为镁合金在汽车领,9
408,t,域广泛应用的重要推动力。万丰镁瑞丁作为全球镁合金压铸业务的领跑者，拥有行业尖端核心技术，业务,9
409,t,区域主要集中在北美市场，客户主要为保时捷、特斯拉、奥迪等国际顶级汽车厂商，同时，不断推进镁合,9
410,t,金部件国产化进程，以满足国内市场的需求，当前新昌镁镁年产70万套仪表盘骨架和1000万套转向管柱项,9
411,t,目一期已进入量产阶段，二期将根据经营需求适时启动。,9
412,t,二、主要资产重大变化情况,10
413,t,1、主要资产重大变化情况,10
414,c,主要资产,10
415,c,重大变化说明,10
416,c,股权资产,10
417,c,"股权资产年末比年初减少1,957.45万元，下降20%，主要系本公司出售持有卡耐新能源总股数的20%股权所致。",10
418,c,固定资产,10
419,c,"固定资产年末比年初增加41,740.15万元，增长14.42%，主要系摩轮智慧工厂项目增加33,124万元，万丰镁瑞丁增加10,184万元，重庆万丰增加8,164万元所致。",10
420,c,在建工程,10
421,c,"在建工程年末比年初减少24,526.74万元，下降45.62%，主要系重庆万丰、摩轮智慧工厂项目达到可使用状态转固定资产所致。",10
422,c,应收票据,10
423,c,"应收票据年末比年初增加23,834.84万元，增长79.74%，主要系公司国内销售增长致使应收票据增加所致。",10
424,c,预付款项,10
425,c,"预付款项年末比年初减少10,473.8万元，下降58.48%，主要系公司预付铝锭款减少所致。",10
426,c,其他应收款,10
427,c,"其他应收款年末比年初增加15,203.07万元，增长760.57%，主要系威海万丰出售土地和设备款项尚未收到所致。",10
428,t,2、主要境外资产情况,10
429,t,□适用√不适用,10
430,t,三、核心竞争力分析,10
431,t,公司是否需要遵守特殊行业的披露要求,10
432,t,否,10
433,t,报告期内，公司未发生因设备或技术升级换代、核心管理团队或关键技术人员离职等导致公司核心竞,10
434,t,争力受到严重影响的情况，在以下五个方面依旧保持核心竞争优势：,10
435,t,1、业务规模优势,10
436,t,"公司作为全球最大的铝合金轮毂生产基地，年产铝合金轮毂4,000多万套，已实现行业细分市场的全球",10
437,t,领跑。公司作为全国最大的环保涂覆加工基地，达克罗涂覆业务生产能力与设备处于世界先进水平，在全,10
438,t,国无铬达克罗涂覆生产线中占比20%以上，已形成每年7万吨的涂覆加工能力，规模优势较强，并具备无铬,10
439,t,达克罗溶液制造以及达克罗涂覆设备生产等技术应用能力，已形成达克罗涂覆行业完整的产业链。公司作,10
440,t,为镁合金深加工业务全球领跑者，拥有二十多年的经营历史和丰富的产业积淀，占有北美市场65%的市场,10
441,t,份额，同时加快镁合金部件国产化生产进程。,10
442,t,2、技术创新优势,10
443,t,公司作为浙江省高新技术企业，借助控股股东院士工作站、博士工作站平台背景的研发优势，拥有众,10
444,t,多专利和非专利技术，不断提高产品附加值和高端市场产品比重的同时，优化了新产品开发流程和产品结,10
445,t,构。铝合金轮毂业务：2017年共计开发新产品600多项，进入批量生产200多项，新获专利80多项，荣获国,11
446,t,家级质量管理小组，省级一等奖1个，省级二等奖2个，被省机械工业联合会评为“质量管理活动杰出企业”,11
447,t,和“质量管理活动杰出管理者”荣誉称号，研发成果显著。环保达克罗涂覆业务：2017年无铬新产品试样,11
448,t,通过率为100%，产品性能、质量稳定性均处于行业领先地位，保持着对涂覆加工、溶液制造以及涂覆设备,11
449,t,生产等贯穿达克罗涂覆行业全产业链的生产及技术能力。轻量化镁合金业务：拥有全球顶级的镁合金技术,11
450,t,研发中心，掌握镁合金铸造、模具设计、焊接等世界领先技术，凭借雄厚的技术研发实力和质量管理优势，,11
451,t,多项产品夺得国际金奖，荣获美国铸造大奖、国际压铸竞赛大奖、国际镁合金应用大奖以及美国铸造学会,11
452,t,颁发的2017年AFS年度设计大奖等荣誉称号。,11
453,t,3、质量品牌优势,11
454,t,品质是企业的生命，品质是企业信誉的标志，品质是企业开拓市场的武器。公司作为铝合金轮毂、无,11
455,t,铬达克罗及轻量化镁合金行业的领军企业，高标准的产品质量管理水平是公司实现行业领先的关键，公司,11
456,t,先后通过了ISO9001、QS9000、VDA6.1、ISO/TS16949质量管理体系认证、德国TUV安全认证、法国UTAC,11
457,t,安全认证和日本JWL/VIA试验室认证，通过了ISO14001环境管理体系和OHSAS18001职业健康安全管理体,11
458,t,系认证。为控制质量，公司使用各类质量控制方法，包括DFMEA、PFMEA、DOE和CP控制计划。鉴于在,11
459,t,质量管理方面的突出业绩，公司“ZCW”品牌先后被评为“浙江省名牌产品”、“中国名牌产品”、“商,11
460,t,务部重点培育和发展的出口名牌”称号，2016年度荣获“浙江省政府质量奖”（总共2家），成为中国铝,11
461,t,轮毂行业的领军品牌，同时成为铝轮行业首家荣获“全国质量奖”殊荣的企业。,11
462,t,4、营销网络优势,11
463,t,汽车铝合金轮毂遵循“26313”市场布局，与全球顶级巨头汽车主机厂及新能源汽车厂商建立了长期,11
464,t,稳定的战略合作伙伴关系，2017年成功进入东风日产全球体系、北汽越野车及北汽新能源体系，并获得批,11
465,t,量新订单。摩托车铝合金轮毂形成了以“本田和雅马哈”为主的销售领域，并加强了巴基斯坦和巴西新兴,11
466,t,市场的拓展，实现以“两印两巴一中”为主导的市场结构。,11
467,t,环保达克罗涂覆业务客户基本覆盖国内合资整车厂商，是通用电气在国内业务的唯一供应商，为通用,11
468,t,系、上汽集团及大众系等知名汽车厂商的环保涂覆加工供应商，并与德尔塔、久美特、锌美特、佳美特等,11
469,t,世界知名涂料品牌建立了战略合作伴伙关系，持续被上海一汽大众评为优秀供应商。,11
470,t,轻量化镁瑞丁业务经过多年经营已建立成熟高效的项目合作模式，产品已覆盖世界顶级汽车品牌，包,11
471,t,括保时捷、奥迪、特斯拉、奔驰、宝马、沃尔沃、路虎、丰田等。,11
472,t,5、企业文化优势,11
473,t,公司经过20多年的发展，形成了公司自有的深厚文化底蕴。公司始终坚持“永恒提升价值、不断奉献,11
474,t,社会”价值观，秉承“以人为本、依法治企、创新驱动”的企业理念，致力于“为客户提供满意的优质产,11
475,t,品”的使命，为员工营造“快乐工作、幸福生活”的良好氛围，并通过培养敬业、竞争、实干、学习和团,11
476,t,队五种精神，及发扬实事求是、艰苦奋斗、雷厉风行和一抓到底的工作作风，形成了团结奋进的企业氛围，,11
477,t,成为行业内成功塑造企业文化的模范企业，为“营造国际品牌，构筑百年企业”的愿景和“百强万丰、百,11
478,t,誉万丰、百年万丰”的目标奠定了坚实的基础。,11
479,t,第四节经营情况讨论与分析,12
480,t,一、概述,12
481,t,2017年，公司全体员工围绕年初提出的“以人为本、依法治企、创新驱动、信息引领”，以市场优化,12
482,t,为导向，以科技进步为保障，以经营质量为中心，以实体经济先进制造业为基础，产业定位“大交通”领,12
483,t,域的经营指导思想，专注实体经济、弘扬工匠精神，凭借公司产品质量、服务、技术品牌等竞争优势，通,12
484,t,过优化产品结构和市场结构，提升内部管理等措施，推动公司可持续发展。,12
485,t,报告期内，公司通过优化客户结构、提高生产效率，营业收入首次突破百亿大关，实现营业收入102,12
486,t,亿元，同比增长7.29%；由于从传统制造向智能制造转型升级、轻量化镁合金国产化扩产等致使投资成本,12
487,t,增加以及技术研发费用增加等因素的影响，公司实现归属于母公司所有者净利润9亿元，同比下降5.99%。,12
488,t,1、市场开拓显著，确保满足扩张产能,12
489,t,2017年，我国汽车行业面临一定的压力，增速放缓，据中国汽车业协会数据显示，全年汽车产、销量,12
490,t,"分别为2,901.5万辆和2,887.9万辆，同比分别增长3.2%和3%，远低于去年11.3%和10.6%的增速，创近几年",12
491,t,"来新低。摩托车市场保持温和增长态势，摩托车产、销量分别为1,714.6万辆和1,713.5万辆，同比增长1.9%",12
492,t,和2%。,12
493,t,面对汽车行业增速放缓的态势，2017年公司通过与主机厂的有效沟通，合理优化市场、订单结构，加,12
494,t,大了新客户开发力度，成功进入东风日产全球体系、北汽越野车及北汽新能源体系、并获得批量新订单；,12
495,t,并成为吉利、比亚迪、东风小康等新能源汽车铝轮毂的战略合作配套商。摩托车铝合金轮毂业务于2017年,12
496,t,获得雅马哈供应商大奖、本田供应商大会感谢奖、中国摩托车行业十佳供应商称号，并成功开发了电动车,12
497,t,ATHER、雅迪、川崎等一批新客户，同时对客户的原有产品进行了更新替换。万丰镁瑞丁作为新能源汽车,12
498,t,龙头上海蔚来汽车有限公司轻量化镁合金铸件的供货商，其第一款ES8车型已于2017年底上市，公司为其,12
499,t,生产的新能源电动汽车提供仪表盘骨架和前端模块框架等镁合金零部件，并将持续为其他新开发的车型提,12
500,t,供优质、丰富的轻量化镁合金铸造产品。为加速镁合金部件国产化进程，公司积极推进了新项目的建设投,12
501,t,产，新昌镁镁一期已正式量产，将成为公司可持续发展的强力支撑。,12
502,t,2、持续提高自动化程度，加快公司转型升级,12
503,t,为积极响应“工业4.0”及“中国制造2025”的号召，公司优化原有生产线在“铸造工序一人多机运,12
504,t,转、涂装生产线、机加工设备自动化物流生产线、自动上料系统、机械手、全自动喷涂系统等工艺”的基,12
505,t,础上，全力建设全方位的智慧工厂，着力于从铸造、机加工、涂装到立体仓库的自动一体化生产，打造集,12
506,t,“节能减排、实时监控、高操作性”于一体的铝轮制造基地，提高了劳动效率、降低了生产成本、促进了,12
507,t,产品质量稳定。当前首期年产600万套高强韧摩托车铝轮智慧工厂全新生产线已正式进入量产爬坡阶段，,12
508,t,并成功入选2017年国家智能制造试点示范项目。年产220万件铝合金轮毂智慧工厂项目已正式批准筹建，,12
509,t,推进制造过程智能化，促进行业转型升级，提升了与全球顶级主机厂长期稳定的战略合作伙伴关系。,12
510,t,3、加大技术创新力度，科技成果不断涌现,12
511,t,公司2017年研发投入2.76亿元，同比增长12.72%，新获专利110项，国家级项目2项验收，荣获国家知,13
512,t,识产权优势企业称号、中国机械工业科学技术奖三等奖、浙江省机械工业科学技术一等奖，获工业科学技,13
513,t,术奖，优秀工业新产品2项，省级新产品7项，技术创新成果不断涌现，达到国内领先水平。在汽车轻量化,13
514,t,应用技术方面，荣获山东省科学技术二等奖，研发的福特镁合金副车架荣获由美国铸造学会颁发的2017年,13
515,t,AFS年度设计大奖。,13
516,t,4、干部员工素质不断提高，企业核心竞争力不断加强,13
517,t,公司协同万丰工商学院等部门进行基层干部转业技能培养，基层干部业务水平大幅提升；启动经理级,13
518,t,领导力“矩力研习社”及“中层干部行动学习工作坊”项目，完成第17期野马特训学员培训工作，提升了,13
519,t,中高层干部管理能力；学习先进的生产流水线和管理理念，为后续智慧工厂建设和公司持续发展奠定基础。,13
520,t,组织“用心点亮团队之光”干部拓展活动，提升了全员管理参与意识和自主管理水平。2017年公司机加工,13
521,t,车间被评为“全国工人先锋号”光荣称号，员工刘方宝荣获“中国铸造大工匠”、“浙江制造大工匠”称,13
522,t,号，张煤钢荣获“浙江制造人气工匠”，营造了以“大工匠”为引领，全员钻研、创新的氛围，提高了团,13
523,t,队专业能力，提升了企业核心竞争力。,13
524,t,二、主营业务分析,13
525,t,1、概述,13
526,t,参见“经营情况讨论与分析”中的“一、概述”相关内容。,13
527,t,2、收入与成本,13
528,t,（1）营业收入构成,13
529,t,单位：元,13
530,c,,13
531,c,2017年,13
532,c,2016年,13
533,c,同比增减,13
534,c,金额,13
535,c,占营业收入比重,13
536,c,金额,13
537,c,占营业收入比重,13
538,c,营业收入合计,13
539,c,"10,177,226,827.99",13
540,c,100%,13
541,c,"9,485,725,904.11",13
542,c,100%,13
543,c,7.29%,13
544,c,分行业,13
545,c,铝合金轮毂,13
546,c,"6,549,493,146.03",13
547,c,64.35%,13
548,c,"5,575,614,557.67",13
549,c,58.78%,13
550,c,17.47%,13
551,c,镁合金压铸产品,13
552,c,"2,635,176,371.45",13
553,c,25.89%,13
554,c,"2,909,812,934.36",13
555,c,30.68%,13
556,c,-9.44%,13
557,c,涂层加工,13
558,c,"386,772,549.10",13
559,c,3.80%,13
560,c,"387,066,487.01",13
561,c,4.08%,13
562,c,-0.08%,13
563,c,金属铸件,13
564,c,"242,875,005.17",13
565,c,2.39%,13
566,c,"227,063,382.67",13
567,c,2.39%,13
568,c,6.96%,13
569,c,其他业务,13
570,c,"362,909,756.24",13
571,c,3.57%,13
572,c,"386,168,542.40",13
573,c,4.07%,13
574,c,-6.02%,13
575,c,分产品,13
576,c,汽车铝合金轮毂,13
577,c,"4,655,836,180.71",13
578,c,45.74%,13
579,c,"3,989,996,947.33",13
580,c,42.06%,13
581,c,16.69%,13
582,c,摩托车铝合金轮毂,13
583,c,"1,893,656,965.32",13
